FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,centroid_lon,centroid_lat,region_nom_bdd_norm,prefecture_nom_bdd_norm,canton_nom_bdd_norm,source,prefecture_nom_bdd_clean
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad2,Maritime,Avé,Avé 2,Badja,1.0278897955220945,6.362503139203198,maritime,ave,badja,barrages,ave
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad3,Maritime,Avé,Avé 2,Badja,1.0072720240439748,6.343431265297652,maritime,ave,badja,barrages,ave
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad4,Maritime,Avé,Avé 1,Edzi,0.8709354861637401,6.400911731807978,maritime,ave,edzi,barrages,ave
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad5,Kara,Bassar,Bassar 4,Sanda-Afohou,0.9545404898113794,9.467182866711596,kara,bassar,sanda afohou,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad6,Maritime,Avé,Avé 1,Ando,0.8427815906279882,6.523876346330586,maritime,ave,ando,barrages,ave
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad7,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,1.228537999886979,6.295727452833507,maritime,agoe nyive,adetikope,barrages,agoe nyive
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad8,Kara,Kozah,Kozah 1,Commune De Kara,1.172212376364233,9.559824781310915,kara,kozah,kara,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ad9,Kara,Kéran,Kéran 2,Hélota,0.7823615780963957,9.943151429502276,kara,keran,helota,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ada,Kara,Kéran,Kéran 2,Hélota,0.8077951887655247,9.946933898478857,kara,keran,helota,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4adb,Kara,Kéran,Kéran 2,Ataloté,0.9126520151781541,9.922450592712806,kara,keran,atalote,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4adc,Kara,Bassar,Bassar 1,Bassar,0.787748440377484,9.270664256565162,kara,bassar,bassar,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4add,Kara,Dankpen,Dankpen 1,Katchamba,0.5454078498880985,9.841766140680983,kara,dankpen,katchamba,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ade,Maritime,Lacs,Lacs 2,Aklakou,1.7235378545739286,6.361982853371964,maritime,lacs,aklakou,barrages,lacs
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4adf,Maritime,Lacs,Lacs 2,Aklakou,1.725106151447225,6.364492355583872,maritime,lacs,aklakou,barrages,lacs
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae0,Kara,Bassar,Bassar 4,Sanda-Kagbanda,0.8633955760435402,9.482354431931968,kara,bassar,sanda kagbanda,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae1,Plateaux,Est-Mono,Est-Mono 1,Elavagnon,1.3044680251664957,7.908085450382033,plateaux,est mono,elavagnon,barrages,est mono
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae2,Plateaux,Ogou,Ogou 2,Akparé,1.2638962418747268,7.516892214694367,plateaux,ogou,akpare,barrages,ogou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae3,Plateaux,Haho,Haho 1,Atchavé,1.1916885339668137,6.86083741675413,plateaux,haho,atchave,barrages,haho
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae4,Plateaux,Haho,Haho 1,Atchavé,1.1921466018284588,6.860663708160566,plateaux,haho,atchave,barrages,haho
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae5,Plateaux,Kpélé,Kpélé 2,Kpélé-Gbalédzé,0.7406940917199039,7.194979484266879,plateaux,kpele,kpele gbaledze,barrages,kpele
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae6,Kara,Dankpen,Dankpen 1,Katchamba,0.5359646499451307,9.884970915621972,kara,dankpen,katchamba,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae7,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),0.7753232315176144,6.57033678659503,plateaux,agou,agotime sud (adzakpa),barrages,agou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae8,Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),0.7941222223315982,6.591079018509762,plateaux,agou,agotime sud (adzakpa),barrages,agou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4ae9,Maritime,Avé,Avé 1,Ando,0.7709697437206731,6.552359208258477,maritime,ave,ando,barrages,ave
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aea,Savanes,Tône,Tône 1,Toaga,0.24212590411402646,10.889919716738593,savanes,tone,toaga,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aeb,Savanes,Tône,Tône 2,Nanergou,0.15600344167142755,10.905811369013318,savanes,tone,nanergou,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aec,Savanes,Tône,Tône 1,Toaga,0.23959904601041082,10.915475501911349,savanes,tone,toaga,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aed,Savanes,Tône,Tône 4,Korbongou,0.34505796968766506,10.920922282463549,savanes,tone,korbongou,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aee,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,0.19338454210795014,10.744884080616718,savanes,tandjoare,bombouaka,barrages,tandjoare
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aef,Savanes,Tandjoaré,Tandjoaré 1,Bombouaka,0.19778299783593595,10.724225436357013,savanes,tandjoare,bombouaka,barrages,tandjoare
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af0,Kara,Doufelgou,Doufelgou 2,Kpaha,1.1289110163128249,9.886125990068978,kara,doufelgou,kpaha,barrages,doufelgou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af1,Maritime,Lacs,Lacs 4,Fiata,1.63720189356581,6.312969367175437,maritime,lacs,fiata,barrages,lacs
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af2,Savanes,Tône,Tône 1,Toaga,0.25504033905338525,10.879898324363811,savanes,tone,toaga,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af3,Maritime,Zio,Zio 1,Abobo,1.3026027042373298,6.222423481550711,maritime,zio,abobo,barrages,zio
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af4,Maritime,Agoè-Nyivé,Agoè-Nyivé 5,Sanguera,1.1268148678695569,6.267310271610239,maritime,agoe nyive,sanguera,barrages,agoe nyive
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af5,Kara,Kozah,Kozah 2,Pya,1.158918015027897,9.681674189613613,kara,kozah,pya,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af6,Kara,Kozah,Kozah 3,Awandjélo,1.2081952422510598,9.476747228219732,kara,kozah,awandjelo,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af7,Kara,Kozah,Kozah 4,Atchangbadè,1.133225015601459,9.47651800726922,kara,kozah,atchangbade,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af8,Kara,Kozah,Kozah 4,Atchangbadè,1.0777171045930707,9.476203879264636,kara,kozah,atchangbade,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4af9,Kara,Kozah,Kozah 4,Atchangbadè,1.0731781833508935,9.473278070027618,kara,kozah,atchangbade,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4afa,Kara,Kozah,Kozah 3,Kpinzindè,1.2514918104581891,9.464190116060198,kara,kozah,kpinzinde,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4afb,Kara,Kozah,Kozah 3,Kpinzindè,1.2589143494158033,9.458225192538299,kara,kozah,kpinzinde,barrages,kozah
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4afc,Kara,Kéran,Kéran 3,Warengo,1.1300916509277177,10.045192026988868,kara,keran,warengo,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4afd,Kara,Kéran,Kéran 3,Warengo,1.1197052119570572,10.096906079974664,kara,keran,warengo,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4afe,Centrale,Blitta,Blitta 1,Yaloumbè,1.1010886389274401,8.281900842626273,centrale,blitta,yaloumbe,barrages,blitta
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4aff,Maritime,Zio,Zio 2,Bolou,1.1677015153835635,6.444451313794512,maritime,zio,bolou,barrages,zio
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b00,Maritime,Lacs,Lacs 2,Aklakou,1.7245633259131132,6.363597859340175,maritime,lacs,aklakou,barrages,lacs
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b01,Savanes,Tône,Tône 3,Tami,0.06181992018580065,10.850147832956857,savanes,tone,tami,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b02,Savanes,Tône,Tône 1,Toaga,0.24368590903733944,10.883160449631639,savanes,tone,toaga,barrages,tone
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b03,Centrale,Tchamba,Tchamba 1,Affem,1.5078766403192159,9.133010691814865,centrale,tchamba,affem,barrages,tchamba
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b04,Centrale,Sotouboua,Sotouboua 2,Aouda,0.9448140998355653,8.733245741884687,centrale,sotouboua,aouda,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b05,Centrale,Sotouboua,Sotouboua 2,Aouda,0.9457960536660825,8.730118214240619,centrale,sotouboua,aouda,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b06,Centrale,Blitta,Blitta 1,Blitta,0.9672464407169425,8.322297322206392,centrale,blitta,blitta,barrages,blitta
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b07,Centrale,Blitta,Blitta 1,Blitta,0.9665433853453224,8.321749879183375,centrale,blitta,blitta,barrages,blitta
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b08,Centrale,Sotouboua,Sotouboua 2,Tittigbe,1.1216513066724438,8.610094705989207,centrale,sotouboua,tittigbe,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b09,Centrale,Sotouboua,Sotouboua 2,Adjengré,1.012136525854751,8.647275580009158,centrale,sotouboua,adjengre,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b0a,Centrale,Sotouboua,Sotouboua 2,Adjengré,1.0129250145235627,8.666063930201727,centrale,sotouboua,adjengre,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b0b,Centrale,Sotouboua,Sotouboua 1,Sotouboua,0.9632411822484788,8.565252570799029,centrale,sotouboua,sotouboua,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b0c,Kara,Assoli,Assoli 2,Alédjo,1.2258842176634306,9.283419846828513,kara,assoli,aledjo,barrages,assoli
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b0d,Kara,Kéran,Kéran 2,Ossacré,0.717704613793636,10.06381049681655,kara,keran,ossacre,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b0e,Kara,Kéran,Kéran 2,Ossacré,0.8034623387158054,10.026963360216614,kara,keran,ossacre,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b0f,Kara,Kéran,Kéran 2,Ossacré,0.7569194675181735,10.062744132581477,kara,keran,ossacre,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b10,Maritime,Avé,Avé 1,Kévé,1.0319450000000001,6.463593333333334,maritime,ave,keve,barrages,ave
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b11,Centrale,Tchamba,Tchamba 1,Affem,1.5329244748626387,9.164909283622329,centrale,tchamba,affem,barrages,tchamba
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b12,Centrale,Tchamba,Tchamba 1,Affem,1.4706794081739853,9.12189079780407,centrale,tchamba,affem,barrages,tchamba
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b13,Centrale,Blitta,Blitta 1,Yaloumbè,1.1012292444467162,8.282402506691387,centrale,blitta,yaloumbe,barrages,blitta
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b14,Centrale,Tchamba,Tchamba 1,Affem,1.5409886410132432,9.130765787717293,centrale,tchamba,affem,barrages,tchamba
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b15,Centrale,Blitta,Blitta 1,Blitta-Village,0.9989283344685856,8.393924372616937,centrale,blitta,blitta village,barrages,blitta
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b16,Centrale,Sotouboua,Sotouboua 3,Bodjondè,0.9929137783951405,8.470678781205105,centrale,sotouboua,bodjonde,barrages,sotouboua
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b17,Kara,Dankpen,Dankpen 1,Guérin-Kouka,0.439997191110381,9.675226043430175,kara,dankpen,guerin kouka,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b18,Kara,Bassar,Bassar 1,Bassar,0.7618572174416638,9.223912575377067,kara,bassar,bassar,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b19,Kara,Kéran,Kéran 1,Pessidè,1.0086756840827078,9.976373938821071,kara,keran,pesside,barrages,keran
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b1a,Kara,Bassar,Bassar 2,Dimori,0.616942766470388,9.02317944798773,kara,bassar,dimori,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b1b,Kara,Bassar,Bassar 1,Baghan,0.6745147925399941,9.06489786964568,kara,bassar,baghan,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b1c,Kara,Bassar,Bassar 1,Kalanga,0.6461103755734374,9.286374300349673,kara,bassar,kalanga,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b1d,Kara,Assoli,Assoli 3,Soudou,1.3246187348779093,9.357950808057836,kara,assoli,soudou,barrages,assoli
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b1e,Kara,Doufelgou,Doufelgou 1,Niamtougou,1.1211723282271322,9.762045751109468,kara,doufelgou,niamtougou,barrages,doufelgou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b1f,Kara,Bassar,Bassar 3,Kabou,0.8245314721063226,9.460290576067333,kara,bassar,kabou,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b20,Kara,Doufelgou,Doufelgou 1,Baga,1.079235274405332,9.790190802877769,kara,doufelgou,baga,barrages,doufelgou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b21,Kara,Doufelgou,Doufelgou 1,Baga,1.11464987580189,9.78966181473131,kara,doufelgou,baga,barrages,doufelgou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b22,Kara,Bassar,Bassar 3,Kabou,0.8088446485902795,9.431222528222504,kara,bassar,kabou,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b23,Kara,Bassar,Bassar 4,Sanda-Kagbanda,0.907409166844102,9.50338376692585,kara,bassar,sanda kagbanda,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b24,Kara,Dankpen,Dankpen 1,Naompoch,0.6489703364875495,9.857056234744912,kara,dankpen,naompoch,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b25,Kara,Dankpen,Dankpen 1,Naompoch,0.6395874217084122,9.798784892692403,kara,dankpen,naompoch,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b26,Kara,Bassar,Bassar 4,Sanda-Kagbanda,0.900955009028864,9.48559172448679,kara,bassar,sanda kagbanda,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b27,Kara,Dankpen,Dankpen 1,Guérin-Kouka,0.6134303091140143,9.688695857913553,kara,dankpen,guerin kouka,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b28,Kara,Dankpen,Dankpen 1,Naompoch,0.6294516479505512,9.783872668409611,kara,dankpen,naompoch,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b29,Kara,Dankpen,Dankpen 1,Guérin-Kouka,0.43936273072039583,9.675003556866184,kara,dankpen,guerin kouka,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b2a,Kara,Bassar,Bassar 4,Sanda-Kagbanda,0.896183417380994,9.476820845051494,kara,bassar,sanda kagbanda,barrages,bassar
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b2b,Kara,Dankpen,Dankpen 1,Koulféikou,0.4101501246065943,9.925522970740444,kara,dankpen,koulfeikou,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b2c,Kara,Dankpen,Dankpen 2,Namon,0.811377932185978,9.72313566480264,kara,dankpen,namon,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b2d,Plateaux,Amou,Amou 1,Imlè-Adiva,0.9556220940714282,7.501456149309185,plateaux,amou,imle adiva,barrages,amou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b2e,Maritime,Zio,Zio 3,Gamé-Sèva,1.217785960823325,6.740395013904498,maritime,zio,game seva,barrages,zio
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b2f,Kara,Dankpen,Dankpen 1,Koulféikou,0.4082579602847417,9.990314056559667,kara,dankpen,koulfeikou,barrages,dankpen
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b30,Plateaux,Agou,Agou 1,Gadja,0.8466479573583419,6.773008420874982,plateaux,agou,gadja,barrages,agou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b31,Plateaux,Haho,Haho 3,Kpédomé,1.1991696257581397,7.085910642537181,plateaux,haho,kpedome,barrages,haho
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b32,Plateaux,Agou,Agou 1,Gadja,0.8172100852700248,6.829284104581224,plateaux,agou,gadja,barrages,agou
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b33,Plateaux,Haho,Haho 1,Notsé,1.1893850905473597,6.952798755452684,plateaux,haho,notse,barrages,haho
_mview_general_digues_petits_barrages.fid-54b5a690_19f1563616b_4b34,Centrale,Mô,Mô 1,Boulohou,0.6123989723575032,8.635107803234462,centrale,mo,boulohou,barrages,mo
