prefecture,region,pcode,area_km2,center_lat,center_lon,n_elevage,n_abattoirs,n_pisciculture,n_retenues_eau,n_barrages,n_total,densite_infra,densite_elevage,dist_abattoir_km,dist_eau_km,dist_pisciculture_km,Score_Eau,Score_Elevage,Score_Pisciculture,Score_Abattoirs,Score_Performance,IRAT,Categorie,score_priorite
Agoe-Nyive,Maritime,TG0309,167.1,6.2852065,1.20461031,69,1,0,9,2,81,484.74,0.4129263913824058,3.41,2.88,11.76,40.4,20.5,33.36,60.83,33.32,36.37,Vulnérable,49.04
Agou,Plateaux,TG0403,1095.98,6.7546995,0.76662838,190,1,10,87,40,328,299.276,0.17336082775233125,10.6,2.07,2.3,96.89,35.17,62.14,55.8,13.85,60.04,Résilient,41.26
Akebou,Plateaux,TG0410,1146.67,7.828317,0.75340977,14,0,0,1,1,16,13.953,0.012209266833526645,30.55,12.56,31.24,16.07,1.41,19.86,29.32,0.75,13.62,Très vulnérable,60.97
Amou,Plateaux,TG0401,1808.5,7.540478,1.06552214,105,0,5,7,5,122,67.459,0.05805916505391208,51.15,5.13,8.84,36.21,17.96,46.5,14.88,4.48,27.33,Vulnérable,57.99
Anie,Plateaux,TG0411,1985.91,7.69633,1.40283706,48,0,2,7,3,60,30.213,0.024170279619922352,72.39,6.44,27.54,32.54,7.47,26.87,0.0,1.73,17.18,Très vulnérable,60.95
Assoli,Kara,TG0201,933.27,9.3367,1.18479329,60,1,1,2,2,66,70.719,0.06429007682664181,7.62,7.42,15.33,27.68,10.48,33.11,57.88,4.99,26.73,Vulnérable,55.14
Ave,Maritime,TG0301,1049.85,6.439203,0.91433283,147,1,4,79,7,238,226.699,0.1400200028575511,9.12,0.88,3.62,79.99,27.07,47.89,56.83,11.14,49.98,Moyen,45.18
Bas-Mono,Maritime,TG0302,329.4,6.4712705,1.66136466,58,0,7,11,0,76,230.723,0.17607771706132364,21.03,5.23,2.58,35.53,12.87,55.28,35.98,14.07,31.74,Vulnérable,51.49
Bassar,Kara,TG0202,3456.9,9.2515535,0.7685996,96,4,0,15,14,129,37.317,0.027770545864792155,1.8,2.98,55.81,48.7,15.69,2.84,99.46,2.02,34.22,Vulnérable,52.51
Binah,Kara,TG0203,580.79,9.7542715,1.28149483,37,1,0,5,0,43,74.037,0.06370633103187039,11.37,4.26,18.48,34.71,6.56,28.71,55.26,4.94,26.58,Vulnérable,53.57
Blitta,Centrale,TG0101,3129.57,8.152462,0.93288535,107,1,2,10,9,129,41.22,0.03419000054320562,5.11,18.96,17.04,10.82,17.71,34.15,59.64,2.54,23.7,Vulnérable,60.67
Cinkasse,Savanes,TG0517,276.1,11.050334,0.10160948,15,1,0,4,3,23,83.303,0.05432814197754436,11.15,3.21,25.83,37.83,2.61,23.61,55.41,4.18,25.45,Vulnérable,52.77
Dankpen,Kara,TG0204,2543.48,9.72644,0.59292152,37,1,0,23,22,83,32.632,0.014546998600342836,4.85,4.7,55.18,52.69,5.36,3.28,59.82,0.94,26.87,Vulnérable,53.37
Danyi,Plateaux,TG0404,396.44,7.230773,0.69335601,18,0,5,1,1,25,63.061,0.045404096458480474,35.81,1.8,2.18,38.39,2.9,51.11,25.63,3.45,26.65,Vulnérable,52.14
Doufelgou,Kara,TG0205,1157.9,9.838018,1.03295879,22,2,3,14,11,52,44.909,0.018999913636756197,12.8,2.98,8.31,46.81,2.93,42.42,66.76,1.31,33.4,Vulnérable,47.71
Est-Mono,Plateaux,TG0405,2652.52,8.1391375,1.44822718,32,0,1,13,2,48,18.096,0.01206399951744002,53.39,1.47,20.37,45.22,4.46,29.62,13.32,0.74,22.68,Vulnérable,55.94
Golfe,Maritime,TG0303,136.19,6.1897955,1.13378181,168,0,7,10,1,186,1365.739,1.2335707467508628,9.1,2.93,10.09,40.3,57.29,50.08,44.34,100.0,53.08,Moyen,44.54
Haho,Plateaux,TG0406,3051.19,7.0250375,1.22365679,420,1,3,36,30,490,160.593,0.13765121149453163,11.47,1.17,7.09,69.94,73.28,43.26,55.18,10.95,57.33,Moyen,59.87
Keran,Kara,TG0206,2018.97,10.0691435,0.97535149,18,1,0,32,11,62,30.709,0.008915437079302813,14.48,3.62,23.44,53.99,2.01,25.27,53.08,0.49,29.76,Vulnérable,49.97
Kloto,Plateaux,TG0412,528.23,6.9198975,0.62961346,52,1,4,6,3,66,124.946,0.09844196656759366,3.55,6.84,7.68,31.25,9.96,45.07,60.74,7.76,30.77,Vulnérable,51.73
Kozah,Kara,TG0207,1085.98,9.557844,1.14266977,97,2,4,15,9,127,116.945,0.08932024530838505,5.63,3.25,7.87,45.78,17.36,44.94,71.78,7.02,38.53,Vulnérable,49.57
Kpele,Plateaux,TG0407,930.92,7.115705,0.80594425,66,0,6,6,3,81,87.011,0.07089760666867186,28.01,9.68,10.83,25.35,11.66,47.34,31.1,5.52,25.2,Vulnérable,56.65
Kpendjal,Savanes,TG0513,1394.23,10.800976,0.70050516,29,0,0,2,1,32,22.952,0.0208000114758684,51.35,8.18,48.32,25.63,4.17,8.03,14.74,1.45,12.69,Très vulnérable,62.72
Lacs,Maritime,TG0304,416.3,6.2990725,1.69650488,107,2,27,13,4,153,367.523,0.25702618304107616,11.78,0.57,5.66,48.03,23.14,97.59,67.47,20.65,51.9,Moyen,40.93
Lome Commune,Maritime,TG0305,104.59,6.15666383,1.24556024,45,3,3,11,0,62,592.791,0.4302514580743857,3.98,0.81,4.68,44.7,16.86,44.93,85.44,34.72,42.9,Moyen,42.73
Moyen-Mono,Plateaux,TG0408,626.15,7.19603,1.55804792,28,0,4,2,2,36,57.494,0.04471771939631079,52.06,7.19,17.11,28.15,4.58,38.54,14.24,3.4,19.77,Très vulnérable,57.68
Naki-Ouest,Savanes,TG0518,786.49,10.8311845,0.44986074,23,0,0,6,6,35,44.502,0.029243855611641598,30.09,8.78,20.85,28.64,3.35,27.06,29.64,2.14,19.5,Très vulnérable,57.51
Ogou,Plateaux,TG0409,1944.1,7.4634425,1.27569756,110,0,3,3,2,118,60.696,0.05658145157142123,59.02,5.11,15.91,32.94,18.77,37.15,9.37,4.36,23.85,Vulnérable,60.79
Oti,Savanes,TG0514,1543.68,10.4055425,0.41077067,26,2,0,7,3,38,24.617,0.016842868988391376,9.11,5.67,55.21,34.14,3.56,3.26,69.34,1.13,22.3,Vulnérable,55.77
Oti-Sud,Savanes,TG0519,2395.01,10.287583,0.7185464,7,0,0,5,4,16,6.681,0.002922743537605271,27.07,6.03,59.91,32.93,0.0,0.0,31.76,0.0,14.64,Très vulnérable,59.75
Plaine du Mo,Centrale,TG0102,1255.65,8.7650495,0.54850282,10,0,0,2,2,14,11.15,0.00796400270776092,52.9,16.01,42.22,9.86,0.63,12.26,13.66,0.41,7.66,Très vulnérable,64.86
Sotouboua,Centrale,TG0103,3147.69,8.705187,0.96122812,88,1,1,14,8,112,35.582,0.027957009743653283,15.66,3.24,5.53,44.85,14.34,39.9,52.25,2.03,33.06,Vulnérable,52.74
Tandjoare,Savanes,TG0515,952.94,10.606418,0.1604846,55,1,0,19,8,83,87.099,0.057716120637185966,11.93,4.39,32.81,44.83,9.47,18.78,54.86,4.45,28.25,Vulnérable,53.71
Tchamba,Centrale,TG0104,3197.09,8.818851,1.47724448,46,1,5,5,4,61,19.08,0.01438808416403667,25.16,17.71,12.5,8.69,6.89,43.96,45.6,0.93,20.05,Vulnérable,58.8
Tchaoudjo,Centrale,TG0105,2396.14,8.992328,1.12985637,111,2,3,11,4,131,54.671,0.04632450524593722,1.03,2.73,6.85,42.61,18.68,43.43,75.0,3.53,37.74,Vulnérable,51.14
Tone,Savanes,TG0516,1221.72,10.868205,0.1691043,76,0,1,52,41,170,139.148,0.06220737975968307,18.66,2.29,10.82,80.37,13.14,36.23,37.65,4.82,40.77,Moyen,46.47
Vo,Maritime,TG0306,755.35,6.3934495,1.50019455,70,1,14,2,0,87,115.178,0.09267227113258754,6.43,3.14,4.86,35.61,12.86,69.25,58.72,7.29,37.28,Vulnérable,48.48
Wawa,Plateaux,TG0402,1244.81,7.5434905,0.76005811,29,1,0,0,0,30,24.1,0.023296728014717105,18.0,19.85,20.17,0.0,4.23,27.54,50.61,1.66,14.32,Très vulnérable,61.58
Yoto,Maritime,TG0307,1261.01,6.669646,1.45191927,40,1,2,18,0,61,48.374,0.03172060491193567,11.07,9.58,16.35,29.81,6.3,34.63,55.46,2.34,26.0,Vulnérable,54.2
Zio,Maritime,TG0308,2164.04,6.5329235,1.15564866,228,2,14,46,32,322,148.796,0.10535849614609712,13.4,1.0,6.1,75.96,39.95,68.39,66.34,8.32,57.24,Moyen,45.98
