indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2023,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2022,1592.15824308797,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2021,1543.26644679206,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2020,1522.58768815868,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2019,1492.69187579086,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2018,1407.19621565066,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2017,1338.50065818373,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2016,1223.04245949279,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2015,1166.09555561634,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2014,1194.90323562486,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2013,1058.99186724678,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2012,1144.49255706988,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2011,1090.419530546,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2010,1050.47700327249,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2009,954.059628447479,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2008,796.36179512774,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2007,803.034724559907,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2006,769.903477478575,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2005,822.159261153676,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2004,766.564410492914,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2003,756.782581899284,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2002,774.640273739593,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2001,785.949381133303,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,2000,761.679215607095,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1999,816.04486427868,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1998,792.080788324798,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1997,836.930573520644,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1996,815.143292751545,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1995,725.022094459646,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1994,716.775682194249,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1993,714.133666068683,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1992,673.62185752234,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1991,687.37404301314,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1990,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1989,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1988,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1987,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1986,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1985,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1984,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1983,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1982,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1981,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1980,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1979,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1978,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1977,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1976,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1975,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1974,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1973,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1972,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1971,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1970,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1969,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1968,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1967,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1966,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1965,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1964,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1963,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1962,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1961,,,,2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",Togo,TGO,1960,,,,2
